S#,Title,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,Cities,State,Gun law,Party affiliation
254,Caltrans Maintenance Yard,12/18/1997,5,2,6,No,Unknown,M,33.78935598,-117.820412,Orange,California,A,Democrat
259,San Diego State University,8/15/1996,3,0,3,No,White,M,32.86357277,-117.1281628,San Diego,California,A,Democrat
276,Offices of Pettit & Martin in San Francisco,7/1/1993,9,6,14,No,White,M,37.75457839,-122.44243429999999,San Francisco,California,A,Democrat
278,Dana Point Post Office,5/6/1993,1,5,6,Yes,White,M,33.47316083,-117.696399,Dana Point,California,A,Democrat
282,Lindhurst High School,5/1/1992,4,10,14,Yes,White,M,39.08174985,-121.55495390000002,Olivehurst,California,A,Democrat
290,Orange Glenn Post Office,8/10/1989,4,1,4,No,White,M,33.13439925,-117.07225279999999,Escondido,California,A,Democrat
291,Cleveland Elementary School,1/17/1989,6,30,35,Yes,White,M,37.96631812,-121.30187749999999,Stockton,California,A,Democrat
296,Electromagnetic Systems Laboratory (ESL),2/16/1988,7,4,11,Yes,White,M,37.38344257,-122.02561850000001,Sunnyvale,California,A,Democrat
304,McDonald's restaurant in San Ysidro,7/18/1984,22,19,40,Yes,White,M,32.555556,-117.047656,San Ysidro,California,A,Democrat
306,49th Street Elementary School,2/24/1984,3,12,14,Yes,Black,M,34.17622092,-118.53995420000001,Los Angeles,California,A,Democrat
312,Grover Cleveland Elementary School,1/29/1979,2,9,11,Yes,White,F,32.86357277,-117.1281628,San Diego,California,A,Democrat
313,Cal State Fullerton,7/12/1976,7,2,9,Yes,White,M,33.88404244,-117.92785,Fullerton,California,A,Democrat
314,Los Angeles Computer Learning Center,2/19/1976,1,7,8,Unknown,White,M,34.17622092,-118.53995420000001,Los Angeles,California,A,Democrat
3,Pennsylvania supermarket shooting,6/7/2017,3,0,3,Unknown,White,M,,,Tunkhannock,Pennsylvania,C,Democrat
37,"Pittsburgh, Pennsylvania",3/9/2016,6,3,9,Unknown,Unknown,M,40.440625,-79.995886,Pittsburgh,Pennsylvania,C,Democrat
38,Wilkinsburg BBQ cookout shootout,3/9/2016,5,3,8,Unknown,Unknown,M,40.441736,-79.88199399999999,,Pennsylvania,C,Democrat
135,Monroeville Macy's,2/7/2015,0,3,3,No,Black,M,40.425745500000005,-79.76092565,Monroeville,Pennsylvania,C,Democrat
144,"Pennsburg, Souderton, Lansdale, Harleysville",12/15/2014,7,1,7,Yes,White,M,40.39359306,-75.49640881,"Pennsburg, Souderton, Lansdale, Harleysville",Pennsylvania,C,Democrat
164,Ross Township Supervisor Council Meeting,8/5/2013,3,3,6,No,White,M,39.75344279,-79.08435956,Salisbury ,Pennsylvania,C,Democrat
221,Amish school shooting,10/2/2006,6,5,11,No,White,M,39.9589,-76.0806,Lancaster County,Pennsylvania,C,Democrat
222,West Nickel Mines Amish School,10/2/2006,6,5,10,Unknown,White,M,40.04214385,-76.30100872,"Nickel Mines, Lancaster",Pennsylvania,C,Democrat
223,Duquesne University,9/17/2006,0,5,5,Unknown,Black,M,40.43948548,-79.97631581,Pittsburgh,Pennsylvania,C,Democrat
250,Parker Middle School Dance,4/24/1998,1,3,4,Yes,White,M,41.87617136,-80.12459632,Edinboro,Pennsylvania,C,Democrat
4,Florida awning manufacturer shooting,6/5/2017,5,0,5,Unknown,Unknown,M,,,Orlando,Florida,F,Democrat
7,Fort Lauderdale airport shooting,1/6/2017,5,6,11,Yes,Latino,M,,,Fort Lauderdale,Florida,F,Democrat
11,Orlando nightclub massacre,6/12/2016,49,53,102,Unknown,Unknown,M,,,Orlando,Florida,F,Democrat
30,"Plantation, Florida",3/19/2016,1,4,5,Unknown,Unknown,Unknown,26.127585999999997,-80.233104,Plantation,Florida,F,Democrat
33,Florida Family celebration ends in shooting,3/13/2016,0,4,4,Unknown,Unknown,Unknown,26.640628000000003,-81.87230799999999,,Florida,F,Democrat
57,Florida Hookah Bar Shooting,2/20/2016,1,3,4,Unknown,Unknown,Unknown,27.950575,-82.457178,,Florida,F,Democrat
61,"Orlando, Florida",2/7/2016,2,10,12,Unknown,Unknown,M,28.4541,-81.4646,Orlando,Florida,F,Democrat
63,"Tampa, FL Strip club shooting",2/6/2016,2,6,8,Unknown,Unknown,Unknown,27.950575,-82.457178,,Florida,F,Democrat
71,Florida family murder,1/23/2016,3,0,3,Unknown,White,M,30.754181,-86.572799,,Florida,F,Democrat
76,"Residence in Lakeland, Florida",1/6/2016,3,1,4,Unknown,Black,M,28.039465000000003,-81.949804,,Florida,F,Democrat
84,"Jacksonville, Florida",11/13/2015,4,1,4,Unknown,Black,M,30.33216122,-81.67576993,Jacksonville,Florida,F,Democrat
91,"Inglis, Florida",10/1/2015,3,1,3,Unknown,White,M,29.03270634,-82.65919302,Inglis,Florida,F,Democrat
105,Miami Gardens,6/16/2015,0,4,4,Unknown,Black,M,25.94326707,-80.24253243,Miami Gardens,Florida,F,Democrat
